,ST_CASE,HARM_EV_2015
25305,450291,Ditch
25306,450292,Tree (Standing Only)
25307,450293,Traffic Sign Support
25308,450294,Motor Vehicle In-Transport
25309,450295,Motor Vehicle In-Transport
25310,450296,Motor Vehicle In-Transport
25311,450297,Pedestrian
25312,450298,Motor Vehicle In-Transport
25313,450299,Guardrail Face
25314,450300,Ditch
25315,450301,Pedestrian
25316,450302,Motor Vehicle In-Transport
25317,450303,Pedestrian
25318,450304,Tree (Standing Only)
25319,450305,Building
25320,450306,Other Fixed Object
25321,450307,Rollover/Overturn
25322,450308,Ditch
25323,450309,Tree (Standing Only)
25324,450310,Motor Vehicle In-Transport
25325,450311,Motor Vehicle In-Transport
25326,450312,Motor Vehicle In-Transport
25327,450313,Motor Vehicle In-Transport
25328,450314,Rollover/Overturn
25329,450315,Embankment
25330,450316,"Other Post, Other Pole, or Other Supports"
25331,450317,Motor Vehicle In-Transport
25332,450318,Ditch
25333,450319,Motor Vehicle In-Transport
25334,450320,Guardrail Face
25335,450321,Motor Vehicle In-Transport
25336,450322,Rollover/Overturn
25337,450323,Motor Vehicle In-Transport
25338,450324,Motor Vehicle In-Transport
25339,450325,Motor Vehicle In-Transport
25340,450326,Tree (Standing Only)
25341,450327,Rollover/Overturn
25342,450328,Motor Vehicle In-Transport
25343,450329,Motor Vehicle In-Transport
25344,450330,Tree (Standing Only)
25345,450331,Pedestrian
25346,450332,Rollover/Overturn
25347,450333,Motor Vehicle In-Transport
25348,450334,Motor Vehicle In-Transport
25349,450335,Motor Vehicle In-Transport
25350,450336,Motor Vehicle In-Transport
25351,450337,Pedalcyclist
25352,450338,Pedestrian
25353,450339,Curb
25354,450340,Motor Vehicle In-Transport
25355,450341,Curb
25356,450342,Pedestrian
25357,450343,Tree (Standing Only)
25358,450344,Tree (Standing Only)
25359,450345,Motor Vehicle In-Transport
25360,450346,Motor Vehicle In-Transport
25361,450347,Motor Vehicle In-Transport
25362,450348,Mail Box
25363,450349,Pedestrian
25364,450350,Ditch
25365,450351,Tree (Standing Only)
25366,450352,Motor Vehicle In-Transport
25367,450353,Motor Vehicle In-Transport
25368,450354,Motor Vehicle In-Transport
25369,450355,Motor Vehicle In-Transport
25370,450356,Motor Vehicle In-Transport
25371,450357,Motor Vehicle In-Transport
25372,450358,Traffic Sign Support
25373,450359,Embankment
25374,450360,Pedestrian
25375,450361,Culvert
25376,450362,Traffic Sign Support
25377,450363,Ditch
25378,450364,Traffic Sign Support
25379,450365,Railway Vehicle
25380,450366,Motor Vehicle In-Transport
25381,450367,Ditch
25382,450368,Traffic Sign Support
25383,450369,Motor Vehicle In-Transport
25384,450370,"Other Post, Other Pole, or Other Supports"
25385,450371,Motor Vehicle In-Transport
25386,450372,Pedestrian
25387,450373,Tree (Standing Only)
25388,450374,Guardrail Face
25389,450375,Motor Vehicle In-Transport
25390,450376,Motor Vehicle In-Transport
25391,450377,Guardrail Face
25392,450378,Motor Vehicle In-Transport
25393,450379,Ditch
25394,450380,Motor Vehicle In-Transport
25395,450381,Motor Vehicle In-Transport
25396,450382,Motor Vehicle In-Transport
25397,450383,Tree (Standing Only)
25398,450384,Rollover/Overturn
25399,450385,Motor Vehicle In-Transport
25400,450386,Ditch
25401,450387,Motor Vehicle In-Transport
25402,450388,Rollover/Overturn
25403,450389,Pedestrian
25404,450390,Pedestrian
25405,450391,Rollover/Overturn
25406,450392,Curb
25407,450393,Guardrail Face
25408,450394,Pedestrian
25409,450395,Pedestrian
25410,450396,Motor Vehicle In-Transport
25411,450397,Ditch
25412,450398,Motor Vehicle In-Transport
25413,450399,Motor Vehicle In-Transport
25414,450400,Guardrail Face
25415,450401,Tree (Standing Only)
25416,450402,Ditch
25417,450403,Ditch
25418,450404,Mail Box
25419,450405,Tree (Standing Only)
25420,450406,Rollover/Overturn
25421,450407,Pedestrian
25422,450408,Ditch
25423,450409,Motor Vehicle In-Transport
25424,450410,Ditch
25425,450411,Pedestrian
25426,450412,Embankment
25427,450413,Motor Vehicle In-Transport
25428,450414,Motor Vehicle In-Transport
25429,450415,Ditch
25430,450416,Motor Vehicle In-Transport
25431,450417,Curb
25432,450418,Ditch
25433,450419,Motor Vehicle In-Transport
25434,450420,Motor Vehicle In-Transport
25435,450421,Culvert
25436,450422,Tree (Standing Only)
25437,450423,Motor Vehicle In-Transport
25438,450424,Culvert
25439,450425,Live Animal
25440,450426,Motor Vehicle In-Transport
25441,450427,Parked Motor Vehicle
25442,450428,Motor Vehicle In-Transport
25443,450429,Curb
25444,450430,Motor Vehicle In-Transport
25445,450431,Motor Vehicle In-Transport
25446,450432,Ditch
25447,450433,Rollover/Overturn
25448,450434,Pedestrian
25449,450435,Motor Vehicle In-Transport
25450,450436,Ditch
25451,450437,Ditch
25452,450438,Ditch
25453,450439,Tree (Standing Only)
25454,450440,Rollover/Overturn
25455,450441,Motor Vehicle In-Transport
25456,450442,Ditch
25457,450443,Mail Box
25458,450444,Mail Box
25459,450445,Motor Vehicle In-Transport
25460,450446,Motor Vehicle In-Transport
25461,450447,Motor Vehicle In-Transport
25462,450448,Pedestrian
25463,450449,Motor Vehicle In-Transport
25464,450450,Ditch
25465,450451,Motor Vehicle In-Transport
25466,450452,Jackknife (harmful to this vehicle)
25467,450453,Motor Vehicle In-Transport
25468,450454,Parked Motor Vehicle
25469,450455,Pedestrian
25470,450456,Motor Vehicle In-Transport
25471,450457,Motor Vehicle In-Transport
25472,450458,Motor Vehicle In-Transport
25473,450459,Pedestrian
25474,450460,Ditch
25475,450461,Embankment
25476,450462,Tree (Standing Only)
25477,450463,Pedestrian
25478,450464,Motor Vehicle In-Transport
25479,450465,Motor Vehicle In-Transport
25480,450466,Motor Vehicle In-Transport
25481,450467,Rollover/Overturn
25482,450468,Pedestrian
25483,450469,Motor Vehicle In-Transport
25484,450470,Pedestrian
25485,450471,Ditch
25486,450472,Motor Vehicle In-Transport
25487,450473,Guardrail Face
25488,450474,Motor Vehicle In-Transport
25489,450475,Rollover/Overturn
25490,450476,Ditch
25491,450477,Motor Vehicle In-Transport
25492,450478,Ditch
25493,450479,Motor Vehicle In-Transport
25494,450480,Rollover/Overturn
25495,450481,Culvert
25496,450482,Ditch
25497,450483,Pedestrian
25498,450484,Motor Vehicle In-Transport
25499,450485,Motor Vehicle In-Transport
25500,450486,Motor Vehicle In-Transport
25501,450487,Traffic Sign Support
25502,450488,Culvert
25503,450489,Culvert
25504,450490,Tree (Standing Only)
25505,450491,Motor Vehicle In-Transport
25506,450492,Ditch
25507,450493,Motor Vehicle In-Transport
25508,450494,Pedestrian
25509,450495,Rollover/Overturn
25510,450496,Motor Vehicle In-Transport
25511,450497,Ditch
25512,450498,Ditch
25513,450499,Other Traffic Barrier
25514,450500,Other Traffic Barrier
25515,450501,Motor Vehicle In-Transport
25516,450502,Motor Vehicle In-Transport
25517,450503,Pedestrian
25518,450504,Motor Vehicle In-Transport
25519,450505,Motor Vehicle In-Transport
25520,450506,Pedalcyclist
25521,450507,Motor Vehicle In-Transport
25522,450508,Tree (Standing Only)
25523,450509,Ditch
25524,450510,Tree (Standing Only)
25525,450511,Pedalcyclist
25526,450512,Pedestrian
25527,450513,Motor Vehicle In-Transport
25528,450514,Tree (Standing Only)
25529,450515,Motor Vehicle In-Transport
25530,450516,Ditch
25531,450517,Motor Vehicle In-Transport
25532,450518,Tree (Standing Only)
25533,450519,Fence
25534,450520,Motor Vehicle In-Transport
25535,450521,Ditch
25536,450522,Tree (Standing Only)
25537,450523,"Other Post, Other Pole, or Other Supports"
25538,450524,Motor Vehicle In-Transport
25539,450525,Curb
25540,450526,Ditch
25541,450527,Live Animal
25542,450528,Tree (Standing Only)
25543,450529,Motor Vehicle In-Transport
25544,450530,Curb
25545,450531,Motor Vehicle In-Transport
25546,450532,Motor Vehicle In-Transport
25547,450533,Motor Vehicle In-Transport
25548,450534,Utility Pole/Light Support
25549,450535,Utility Pole/Light Support
25550,450536,Parked Motor Vehicle
25551,450537,Motor Vehicle In-Transport
25552,450538,Tree (Standing Only)
25553,450539,Tree (Standing Only)
25554,450540,Bridge Rail (Includes Parapet)
25555,450541,Tree (Standing Only)
25556,450542,Guardrail End
25557,450543,Pedestrian
25558,450544,Pedestrian
25559,450545,Motor Vehicle In-Transport
25560,450546,Motor Vehicle In-Transport
25561,450547,Pedestrian
25562,450548,Tree (Standing Only)
25563,450549,Motor Vehicle In-Transport
25564,450550,Tree (Standing Only)
25565,450551,Rollover/Overturn
25566,450552,Pedestrian
25567,450553,Motor Vehicle In-Transport
25568,450554,Tree (Standing Only)
25569,450555,Rollover/Overturn
25570,450556,Motor Vehicle In-Transport
25571,450557,Pedalcyclist
25572,450558,Tree (Standing Only)
25573,450559,Motor Vehicle In-Transport
25574,450560,Pedestrian
25575,450561,Embankment
25576,450562,Utility Pole/Light Support
25577,450563,Motor Vehicle In-Transport
25578,450564,Culvert
25579,450565,Motor Vehicle In-Transport
25580,450566,Tree (Standing Only)
25581,450567,Guardrail Face
25582,450568,Ditch
25583,450569,Motor Vehicle In-Transport
25584,450570,Pedestrian
25585,450571,Motor Vehicle In-Transport
25586,450572,Tree (Standing Only)
25587,450573,Pedestrian
25588,450574,Motor Vehicle In-Transport
25589,450575,Motor Vehicle In-Transport
25590,450576,Ditch
25591,450577,Pedestrian
25592,450578,Motor Vehicle In-Transport
25593,450579,Tree (Standing Only)
25594,450580,Pedestrian
25595,450581,Pedestrian
25596,450582,Other Traffic Barrier
25597,450583,Mail Box
25598,450584,Mail Box
25599,450585,Motor Vehicle In-Transport
25600,450586,Motor Vehicle In-Transport
25601,450587,Motor Vehicle In-Transport
25602,450588,Motor Vehicle In-Transport
25603,450589,Ditch
25604,450590,Motor Vehicle In-Transport
25605,450591,Motor Vehicle In-Transport
25606,450592,Tree (Standing Only)
25607,450593,Mail Box
25608,450594,Motor Vehicle In-Transport
25609,450595,Motor Vehicle In-Transport
25610,450596,Jackknife (harmful to this vehicle)
25611,450597,Tree (Standing Only)
25612,450598,Ditch
25613,450599,Curb
25614,450600,Pedalcyclist
25615,450601,Motor Vehicle In-Transport
25616,450602,Motor Vehicle In-Transport
25617,450603,Motor Vehicle In-Transport
25618,450604,Motor Vehicle In-Transport
25619,450605,Motor Vehicle In-Transport
25620,450606,Ditch
25621,450607,Pedalcyclist
25622,450608,Mail Box
25623,450609,Mail Box
25624,450610,Motor Vehicle In-Transport
25625,450611,Live Animal
25626,450612,Motor Vehicle In-Transport
25627,450613,Tree (Standing Only)
25628,450614,Motor Vehicle In-Transport
25629,450615,Embankment
25630,450616,Tree (Standing Only)
25631,450617,Embankment
25632,450618,Pedestrian
25633,450619,Motor Vehicle In-Transport
25634,450620,Guardrail Face
25635,450621,Guardrail End
25636,450622,Railway Vehicle
25637,450623,Motor Vehicle In-Transport
25638,450624,Motor Vehicle In-Transport
25639,450625,Motor Vehicle In-Transport
25640,450626,Motor Vehicle In-Transport
25641,450627,Tree (Standing Only)
25642,450628,Motor Vehicle In-Transport
25643,450629,Pedestrian
25644,450630,Motor Vehicle In-Transport
25645,450631,Tree (Standing Only)
25646,450632,Pedestrian
25647,450633,Embankment
25648,450634,Motor Vehicle In-Transport
25649,450635,Motor Vehicle In-Transport
25650,450636,Motor Vehicle In-Transport
25651,450637,Pedestrian
25652,450638,Pedestrian
25653,450639,Immersion or Partial Immersion
25654,450640,Motor Vehicle In-Transport
25655,450641,Motor Vehicle In-Transport
25656,450642,Pedestrian
25657,450643,Tree (Standing Only)
25658,450644,Embankment
25659,450645,Motor Vehicle In-Transport
25660,450646,Motor Vehicle In-Transport
25661,450647,Motor Vehicle In-Transport
25662,450648,Rollover/Overturn
25663,450649,Pedestrian
25664,450650,Embankment
25665,450651,Motor Vehicle In-Transport
25666,450652,Motor Vehicle In-Transport
25667,450653,Motor Vehicle In-Transport
25668,450654,Fence
25669,450655,Fence
25670,450656,Live Animal
25671,450657,Pedestrian
25672,450658,Pedestrian
25673,450659,Tree (Standing Only)
25674,450660,Motor Vehicle In-Transport
25675,450661,Tree (Standing Only)
25676,450662,Motor Vehicle In-Transport
25677,450663,Ditch
25678,450664,Ditch
25679,450665,Ditch
25680,450666,Pedestrian
25681,450667,Motor Vehicle In-Transport
25682,450668,Tree (Standing Only)
25683,450669,Tree (Standing Only)
25684,450670,Ditch
25685,450671,Motor Vehicle In-Transport
25686,450672,Mail Box
25687,450673,Culvert
25688,450674,Other Traffic Barrier
25689,450675,Motor Vehicle In-Transport
25690,450676,Tree (Standing Only)
25691,450677,Pedestrian
25692,450678,Tree (Standing Only)
25693,450679,Ditch
25694,450680,Embankment
25695,450681,Embankment
25696,450682,Tree (Standing Only)
25697,450683,Pedestrian
25698,450684,Pedestrian
25699,450685,Pedestrian
25700,450686,Motor Vehicle In-Transport
25701,450687,Pedestrian
25702,450688,Motor Vehicle In-Transport
25703,450689,Motor Vehicle In-Transport
25704,450690,Motor Vehicle In-Transport
25705,450691,Motor Vehicle In-Transport
25706,450692,Other Non-Collision
25707,450693,Motor Vehicle In-Transport
25708,450694,Motor Vehicle In-Transport
25709,450695,Motor Vehicle In-Transport
25710,450696,Pedestrian
25711,450697,Tree (Standing Only)
25712,450698,Ditch
25713,450699,Pedestrian
25714,450700,Guardrail Face
25715,450701,Motor Vehicle In-Transport
25716,450702,Motor Vehicle In-Transport
25717,450703,Tree (Standing Only)
25718,450704,Motor Vehicle In-Transport
25719,450705,Motor Vehicle In-Transport
25720,450706,Tree (Standing Only)
25721,450707,Motor Vehicle In-Transport
25722,450708,Motor Vehicle In-Transport
25723,450709,Culvert
25724,450710,Culvert
25725,450711,Ditch
25726,450712,Motor Vehicle In-Transport
25727,450713,Curb
25728,450714,Motor Vehicle In-Transport
25729,450715,Traffic Sign Support
25730,450716,Motor Vehicle In-Transport
25731,450717,Motor Vehicle In-Transport
25732,450718,Tree (Standing Only)
25733,450719,Pedestrian
25734,450720,Pedestrian
25735,450721,Motor Vehicle In-Transport
25736,450722,Motor Vehicle In-Transport
25737,450723,Motor Vehicle In-Transport
25738,450724,Pedestrian
25739,450725,Ditch
25740,450726,Culvert
25741,450727,Pedestrian
25742,450728,Pedestrian
25743,450729,Motor Vehicle In-Transport
25744,450730,Motor Vehicle In-Transport
25745,450731,Motor Vehicle In-Transport
25746,450732,Motor Vehicle In-Transport
25747,450733,Tree (Standing Only)
25748,450734,Tree (Standing Only)
25749,450735,Motor Vehicle In-Transport
25750,450736,Tree (Standing Only)
25751,450737,Guardrail Face
25752,450738,Motor Vehicle In-Transport
25753,450739,Curb
25754,450740,Ditch
25755,450741,Motor Vehicle In-Transport
25756,450742,Motor Vehicle In-Transport
25757,450743,Pedestrian
25758,450744,Motor Vehicle In-Transport
25759,450745,Pedestrian
25760,450746,Mail Box
25761,450747,Motor Vehicle In-Transport
25762,450748,Pedestrian
25763,450749,Motor Vehicle In-Transport
25764,450750,Motor Vehicle In-Transport
25765,450751,Pedestrian
25766,450752,Motor Vehicle In-Transport
25767,450753,Motor Vehicle In-Transport
25768,450754,Motor Vehicle In-Transport
25769,450755,Motor Vehicle In-Transport
25770,450756,Embankment
25771,450757,Tree (Standing Only)
25772,450758,Motor Vehicle In-Transport
25773,450759,Pedestrian
25774,450760,Pedestrian
25775,450761,Motor Vehicle In-Transport
25776,450762,Motor Vehicle In-Transport
25777,450763,Motor Vehicle In-Transport
25778,450764,Rollover/Overturn
25779,450765,Motor Vehicle In-Transport
25780,450766,Motor Vehicle In-Transport
25781,450767,Motor Vehicle In-Transport
25782,450768,Embankment
25783,450769,Motor Vehicle In-Transport
25784,450770,Motor Vehicle In-Transport
25785,450771,Motor Vehicle In-Transport
25786,450772,Motor Vehicle In-Transport
25787,450773,Culvert
25788,450774,Ditch
25789,450775,Pedestrian
25790,450776,Motor Vehicle In-Transport
25791,450777,Embankment
25792,450778,Rollover/Overturn
25793,450779,Ditch
25794,450780,Pedestrian
25795,450781,Motor Vehicle In-Transport
25796,450782,Pedestrian
25797,450783,Motor Vehicle In-Transport
25798,450784,Pedestrian
25799,450785,Motor Vehicle In-Transport
25800,450786,Pedestrian
25801,450787,Motor Vehicle In-Transport
25802,450788,Pedestrian
25803,450789,Pedestrian
25804,450790,Motor Vehicle In-Transport
25805,450791,Motor Vehicle In-Transport
25806,450792,Tree (Standing Only)
25807,450793,Guardrail End
25808,450794,Ditch
25809,450795,Ditch
25810,450796,Motor Vehicle In-Transport
25811,450797,Curb
25812,450798,Motor Vehicle In-Transport
25813,450799,Motor Vehicle In-Transport
25814,450800,Ditch
25815,450801,Tree (Standing Only)
25816,450802,Pedestrian
25817,450803,Fence
25818,450804,Rollover/Overturn
25819,450805,Traffic Sign Support
25820,450806,Motor Vehicle In-Transport
25821,450807,Pedestrian
25822,450808,Pedestrian
25823,450809,Pedestrian
25824,450810,Tree (Standing Only)
25825,450811,Motor Vehicle In-Transport
25826,450812,Guardrail Face
25827,450813,Pedalcyclist
25828,450814,Motor Vehicle In-Transport
25829,450815,Motor Vehicle In-Transport
25830,450816,Traffic Sign Support
25831,450817,Motor Vehicle In-Transport
25832,450818,Motor Vehicle In-Transport
25833,450819,Other Fixed Object
25834,450820,Motor Vehicle In-Transport
25835,450821,Motor Vehicle In-Transport
25836,450822,Motor Vehicle In-Transport
25837,450823,Motor Vehicle In-Transport
25838,450824,Motor Vehicle In-Transport
25839,450825,Motor Vehicle In-Transport
25840,450826,Motor Vehicle In-Transport
25841,450827,Motor Vehicle In-Transport
25842,450828,Fence
25843,450829,Mail Box
25844,450830,Tree (Standing Only)
25845,450831,Ditch
25846,450832,Motor Vehicle In-Transport
25847,450833,Pedalcyclist
25848,450834,Motor Vehicle In-Transport
25849,450835,Pedestrian
25850,450836,Motor Vehicle In-Transport
25851,450837,Ditch
25852,450838,Pedalcyclist
25853,450839,Motor Vehicle In-Transport
25854,450840,Tree (Standing Only)
25855,450841,Motor Vehicle In-Transport
25856,450842,Motor Vehicle In-Transport
25857,450843,Motor Vehicle In-Transport
25858,450845,Motor Vehicle In-Transport
25859,450846,Motor Vehicle In-Transport
25860,450847,Other Object (Not Fixed)
25861,450848,Motor Vehicle In-Transport
25862,450849,Rollover/Overturn
25863,450850,Motor Vehicle In-Transport
25864,450851,Pedestrian
25865,450852,Ditch
25866,450853,Motor Vehicle In-Transport
25867,450854,Pedestrian
25868,450855,Motor Vehicle In-Transport
25869,450856,Railway Vehicle
25870,450857,Motor Vehicle In-Transport
25871,450858,Motor Vehicle In-Transport
25872,450859,Guardrail End
25873,450860,Pedestrian
25874,450861,Tree (Standing Only)
25875,450862,Fence
25876,450863,Ditch
25877,450864,Motor Vehicle In-Transport
25878,450865,Rollover/Overturn
25879,450866,Motor Vehicle In-Transport
25880,450867,Ditch
25881,450868,Motor Vehicle In-Transport
25882,450869,Motor Vehicle In-Transport
25883,450870,Ditch
25884,450871,Motor Vehicle In-Transport
25885,450872,Motor Vehicle In-Transport
25886,450873,Ditch
25887,450874,Pedestrian
25888,450875,Motor Vehicle In-Transport
25889,450876,Ditch
25890,450877,Pedestrian
25891,450878,Motor Vehicle In-Transport
25892,450879,Non-Motorist on Personal Conveyance
25893,450880,Ditch
25894,450881,Motor Vehicle In-Transport
25895,450882,Live Animal
25896,450883,Motor Vehicle In-Transport
25897,450884,Motor Vehicle In-Transport
25898,450885,Live Animal
25899,450886,Rollover/Overturn
25900,450887,Motor Vehicle In-Transport
25901,450888,"Other Post, Other Pole, or Other Supports"
25902,450889,Motor Vehicle In-Transport
25903,450890,Pedestrian
25904,450891,Motor Vehicle In-Transport
25905,450892,Curb
25906,450893,Ditch
25907,450894,Motor Vehicle In-Transport
25908,450895,Embankment
25909,450896,Motor Vehicle In-Transport
25910,450897,Embankment
25911,450898,Motor Vehicle In-Transport
25912,450899,Rollover/Overturn
25913,450900,Motor Vehicle In-Transport
25914,450901,Motor Vehicle In-Transport
25915,450902,Tree (Standing Only)
25916,450903,Ditch
25917,450904,Pedestrian
25918,450905,Motor Vehicle In-Transport
25919,450906,Pedestrian
25920,450907,Motor Vehicle In-Transport
25921,450908,Culvert
25922,450909,Pedestrian
25923,450910,Pedestrian
25924,450911,Motor Vehicle In-Transport
25925,450912,Motor Vehicle In-Transport
25926,450913,Tree (Standing Only)
25927,450914,Motor Vehicle In-Transport
25928,460001,Rollover/Overturn
25929,460002,Rollover/Overturn
25930,460003,Motor Vehicle In-Transport
25931,460004,Rollover/Overturn
25932,460005,Embankment
25933,460006,"Other Post, Other Pole, or Other Supports"
25934,460007,Fence
25935,460008,Motor Vehicle In-Transport
25936,460009,Pedestrian
25937,460010,Motor Vehicle In-Transport
25938,460011,Parked Motor Vehicle
25939,460012,Boulder
25940,460013,Rollover/Overturn
25941,460014,Rollover/Overturn
25942,460015,Embankment
25943,460016,Fence
25944,460017,Motor Vehicle In-Transport
25945,460018,Motor Vehicle In-Transport
25946,460019,Rollover/Overturn
25947,460020,Guardrail End
25948,460021,Rollover/Overturn
25949,460022,Motor Vehicle In-Transport
25950,460023,Motor Vehicle In-Transport
25951,460024,Rollover/Overturn
25952,460025,Motor Vehicle In-Transport
25953,460026,Embankment
25954,460027,Motor Vehicle In-Transport
25955,460028,Rollover/Overturn
25956,460029,Rollover/Overturn
25957,460030,Rollover/Overturn
25958,460031,Motor Vehicle In-Transport
25959,460032,Motor Vehicle In-Transport
25960,460033,Traffic Sign Support
25961,460034,Motor Vehicle In-Transport
25962,460035,Embankment
25963,460036,Motor Vehicle In-Transport
25964,460037,Fire/Explosion
25965,460038,Rollover/Overturn
25966,460040,Motor Vehicle In-Transport
25967,460041,Motor Vehicle In-Transport
25968,460042,Rollover/Overturn
25969,460043,Motor Vehicle In-Transport
25970,460044,Rollover/Overturn
25971,460045,"Other Post, Other Pole, or Other Supports"
25972,460046,Motor Vehicle In-Transport
25973,460047,Motor Vehicle In-Transport
25974,460048,Motor Vehicle In-Transport
25975,460049,Rollover/Overturn
25976,460050,Motor Vehicle In-Transport
25977,460051,Bridge Pier or Support
25978,460052,Rollover/Overturn
25979,460053,Motor Vehicle In-Transport
25980,460054,Embankment
25981,460055,Motor Vehicle In-Transport
25982,460056,Rollover/Overturn
25983,460057,Rollover/Overturn
25984,460058,Motor Vehicle In-Transport
25985,460059,Guardrail Face
25986,460060,Motor Vehicle In-Transport
25987,460061,Fence
25988,460062,Motor Vehicle In-Transport
25989,460063,Rollover/Overturn
25990,460064,Rollover/Overturn
25991,460065,Motor Vehicle In-Transport
25992,460066,Rollover/Overturn
25993,460067,Motor Vehicle In-Transport
25994,460068,Motor Vehicle In-Transport
25995,460069,Embankment
25996,460070,Rollover/Overturn
25997,460071,Rollover/Overturn
25998,460072,Rollover/Overturn
25999,460073,Motor Vehicle In-Transport
26000,460074,Motor Vehicle In-Transport
26001,460075,Motor Vehicle In-Transport
26002,460076,Motor Vehicle In-Transport
26003,460077,Guardrail End
26004,460078,Rollover/Overturn
26005,460079,Guardrail Face
26006,460080,Rollover/Overturn
26007,460081,Motor Vehicle In-Transport
26008,460082,Ground
26009,460083,Fell/Jumped from Vehicle
26010,460084,Motor Vehicle In-Transport
26011,460085,Rollover/Overturn
26012,460086,Rollover/Overturn
26013,460087,Motor Vehicle In-Transport
26014,460088,"Other Post, Other Pole, or Other Supports"
26015,460089,Motor Vehicle In-Transport
26016,460090,Motor Vehicle In-Transport
26017,460091,Motor Vehicle In-Transport
26018,460092,Tree (Standing Only)
26019,460093,Motor Vehicle In-Transport
26020,460094,Motor Vehicle In-Transport
26021,460095,Pedalcyclist
26022,460096,Pedestrian
26023,460097,Rollover/Overturn
26024,460098,Rollover/Overturn
26025,460099,Rollover/Overturn
26026,460100,Rollover/Overturn
26027,460101,Rollover/Overturn
26028,460102,Motor Vehicle In-Transport
26029,460103,Rollover/Overturn
26030,460104,Motor Vehicle In-Transport
26031,460105,"Other Post, Other Pole, or Other Supports"
26032,460106,Motor Vehicle In-Transport
26033,460107,Pedestrian
26034,460108,Motor Vehicle In-Transport
26035,460109,Motor Vehicle In-Transport
26036,460110,"Other Post, Other Pole, or Other Supports"
26037,460111,Rollover/Overturn
26038,460112,Pedestrian
26039,460113,Pedestrian
26040,460114,Rollover/Overturn
26041,460115,Rollover/Overturn
26042,460116,Rollover/Overturn
26043,460117,Pedestrian
26044,470001,Motor Vehicle In-Transport
26045,470002,Tree (Standing Only)
26046,470003,Guardrail Face
26047,470004,Motor Vehicle In-Transport
26048,470005,Motor Vehicle In-Transport
26049,470006,Pedestrian
26050,470007,Motor Vehicle In-Transport
26051,470008,Motor Vehicle In-Transport
26052,470009,Rollover/Overturn
26053,470010,Utility Pole/Light Support
26054,470011,Utility Pole/Light Support
26055,470012,Embankment
26056,470013,Motor Vehicle In-Transport
26057,470014,Motor Vehicle In-Transport
26058,470015,Pedestrian
26059,470016,Tree (Standing Only)
26060,470017,Motor Vehicle In-Transport
26061,470018,Tree (Standing Only)
26062,470019,Motor Vehicle In-Transport
26063,470020,Pedestrian
26064,470021,Pedestrian
26065,470022,Motor Vehicle In-Transport
26066,470023,Pedestrian
26067,470024,Bridge Rail (Includes Parapet)
26068,470025,Motor Vehicle In-Transport
26069,470026,Motor Vehicle In-Transport
26070,470027,Motor Vehicle In-Transport
26071,470028,Tree (Standing Only)
26072,470029,Motor Vehicle In-Transport
26073,470030,Fence
26074,470031,Tree (Standing Only)
26075,470032,Motor Vehicle In-Transport
26076,470033,Fence
26077,470034,Motor Vehicle In-Transport
26078,470035,Utility Pole/Light Support
26079,470036,Curb
26080,470037,Tree (Standing Only)
26081,470038,Embankment
26082,470039,Guardrail Face
26083,470040,Parked Motor Vehicle
26084,470041,Motor Vehicle In-Transport
26085,470043,Tree (Standing Only)
26086,470044,Motor Vehicle In-Transport
26087,470045,Embankment
26088,470047,Motor Vehicle In-Transport
26089,470049,Pedestrian
26090,470051,Motor Vehicle In-Transport
26091,470052,Ditch
26092,470053,"Other Post, Other Pole, or Other Supports"
26093,470054,Pedestrian
26094,470055,Motor Vehicle In-Transport
26095,470056,Motor Vehicle In-Transport
26096,470057,Pedestrian
26097,470058,Motor Vehicle In-Transport
26098,470059,Motor Vehicle In-Transport
26099,470060,Pedestrian
26100,470062,Motor Vehicle In-Transport
26101,470063,Motor Vehicle In-Transport
26102,470064,Motor Vehicle In-Transport
26103,470065,Utility Pole/Light Support
26104,470066,Motor Vehicle In-Transport
26105,470067,Tree (Standing Only)
26106,470068,Motor Vehicle In-Transport
26107,470069,Motor Vehicle In-Transport
26108,470070,Tree (Standing Only)
26109,470071,Motor Vehicle In-Transport
26110,470072,Embankment
26111,470073,Rollover/Overturn
26112,470074,Motor Vehicle In-Transport
26113,470075,Rollover/Overturn
26114,470076,Motor Vehicle In-Transport
26115,470077,Culvert
26116,470078,Tree (Standing Only)
26117,470079,Pedestrian
26118,470080,Motor Vehicle In-Transport
26119,470081,Motor Vehicle In-Transport
26120,470083,Motor Vehicle In-Transport
26121,470084,Motor Vehicle In-Transport
26122,470085,Motor Vehicle In-Transport
26123,470086,Pedestrian
26124,470087,Motor Vehicle In-Transport
26125,470088,Traffic Sign Support
26126,470089,Motor Vehicle In-Transport
26127,470090,Rollover/Overturn
26128,470091,Embankment
26129,470092,Embankment
26130,470093,Embankment
26131,470094,Tree (Standing Only)
26132,470095,Motor Vehicle In-Transport
26133,470096,Pedalcyclist
26134,470097,Tree (Standing Only)
26135,470098,Motor Vehicle In-Transport
26136,470099,Culvert
26137,470100,Utility Pole/Light Support
26138,470101,Motor Vehicle In-Transport
26139,470102,Tree (Standing Only)
26140,470103,Concrete Traffic Barrier
26141,470104,Motor Vehicle In-Transport
26142,470106,Pedestrian
26143,470107,Motor Vehicle In-Transport
26144,470108,Guardrail Face
26145,470109,Motor Vehicle In-Transport
26146,470110,Pedestrian
26147,470112,Pedestrian
